[2026-04-29 23:42:00.127] [info]  splashScreenPreload: signalReady
[2026-04-29 23:42:00.184] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-04-29 23:42:00.185] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-04-29 23:42:00.185] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-04-29 23:42:00.185] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-04-29 23:42:00.186] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-04-29 23:42:00.186] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-04-29 23:42:00.186] [info]  splashScreenPreload: onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-04-29 23:42:00.343] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-04-29 23:42:00.588] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-04-29 23:42:00.604] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-04-29 23:42:00.606] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-04-29 23:42:00.607] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-04-29 23:42:00.611] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-04-29 23:42:00.616] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-04-29 23:42:00.621] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-04-29 23:42:00.622] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-04-29 23:42:00.627] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2026-04-29 23:42:00.628] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-04-29 23:42:00.631] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2026-04-29 23:42:00.633] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2026-04-29 23:42:00.639] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2026-04-29 23:42:00.643] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2026-04-29 23:42:00.644] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2026-04-29 23:42:00.650] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2026-04-29 23:42:00.650] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2026-04-29 23:42:00.653] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2026-04-29 23:42:00.655] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2026-04-29 23:42:00.655] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2026-04-29 23:42:00.657] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2026-04-29 23:42:00.661] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2026-04-29 23:42:00.661] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2026-04-29 23:42:00.662] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2026-04-29 23:42:00.675] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2026-04-29 23:42:00.678] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":49}
[2026-04-29 23:42:00.678] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2026-04-29 23:42:00.680] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2026-04-29 23:42:00.680] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2026-04-29 23:42:00.681] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2026-04-29 23:42:00.684] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2026-04-29 23:42:00.684] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2026-04-29 23:42:00.685] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2026-04-29 23:42:00.687] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2026-04-29 23:42:00.687] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2026-04-29 23:42:00.688] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2026-04-29 23:42:00.688] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2026-04-29 23:42:00.689] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2026-04-29 23:42:00.691] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2026-04-29 23:42:00.691] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":79}
[2026-04-29 23:42:00.695] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2026-04-29 23:42:00.695] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2026-04-29 23:42:00.696] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2026-04-29 23:42:00.696] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2026-04-29 23:42:00.698] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2026-04-29 23:42:00.701] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2026-04-29 23:42:00.701] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2026-04-29 23:42:00.702] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2026-04-29 23:42:00.702] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2026-04-29 23:42:00.703] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2026-04-29 23:42:00.704] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2026-04-29 23:42:00.842] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2026-04-29 23:42:00.842] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2026-04-29 23:42:00.843] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":6}
[2026-04-29 23:42:00.846] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":9}
[2026-04-29 23:42:00.847] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2026-04-29 23:42:00.848] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":13}
[2026-04-29 23:42:00.851] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":16}
[2026-04-29 23:42:00.851] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":17}
[2026-04-29 23:42:00.854] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":20}
[2026-04-29 23:42:00.857] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":23}
[2026-04-29 23:42:00.857] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":24}
[2026-04-29 23:42:00.860] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2026-04-29 23:42:00.860] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":27}
[2026-04-29 23:42:00.863] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":30}
[2026-04-29 23:42:00.863] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":31}
[2026-04-29 23:42:00.865] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":33}
[2026-04-29 23:42:00.865] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":34}
[2026-04-29 23:42:00.867] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":37}
[2026-04-29 23:42:00.867] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":38}
[2026-04-29 23:42:00.869] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":41}
[2026-04-29 23:42:00.869] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":42}
[2026-04-29 23:42:00.870] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":44}
[2026-04-29 23:42:00.871] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":45}
[2026-04-29 23:42:00.872] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":48}
[2026-04-29 23:42:00.872] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":49}
[2026-04-29 23:42:00.874] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":51}
[2026-04-29 23:42:00.874] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":52}
[2026-04-29 23:42:00.876] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2026-04-29 23:42:00.876] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2026-04-29 23:42:00.877] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":58}
[2026-04-29 23:42:00.878] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":59}
[2026-04-29 23:42:00.880] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":62}
[2026-04-29 23:42:00.880] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":63}
[2026-04-29 23:42:00.881] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":69}
[2026-04-29 23:42:00.881] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":73}
[2026-04-29 23:42:00.883] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":75}
[2026-04-29 23:42:00.885] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":78}
[2026-04-29 23:42:00.886] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":80}
[2026-04-29 23:42:00.887] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":83}
[2026-04-29 23:42:00.889] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":86}
[2026-04-29 23:42:00.889] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":87}
